ID,Thiết bị/Trình duyệt,Chức năng,Thao tác,Kết quả mong đợi,Trạng thái,Ghi chú
UAT-01,Windows Chrome,Đăng nhập và MFA,Đăng nhập tài khoản Giám đốc và đăng ký/xác minh MFA,Nhận context công ty và aal2 trước khi mở phiên ERP,Chưa chạy,
UAT-02,Windows Chrome,Khôi phục mật khẩu,Gửi email và mở recovery link,Đặt mật khẩu mới rồi buộc đăng nhập lại,Chưa chạy,
UAT-03,iPhone Safari,Dashboard,Mở dashboard dọc 390px,Không tràn ngang và KPI đúng,Chưa chạy,
UAT-04,Android Chrome,Thông báo,Mở thông báo và đi tới hồ sơ cần xử lý,Đúng phân hệ và đánh dấu đã xem,Chưa chạy,
UAT-05,iPad Safari,Đồng bộ,Sửa tiến độ dự án,Thiết bị khác nhận thay đổi qua Realtime,Chưa chạy,
UAT-06,Tablet Android,Upload,Tải tệp thử vào company-files,Tệp hiển thị và tạo signed URL,Chưa chạy,
UAT-07,Windows Chrome,RBAC,Đăng nhập Kế toán viên,Chỉ thấy phân hệ được cấp quyền,Chưa chạy,
UAT-08,Windows Chrome,RBAC,Giám đốc đổi quyền một vai trò,Menu cập nhật và audit log có sự kiện,Chưa chạy,
UAT-09,Windows Chrome,Kế toán,Tạo chứng từ Draft và kiểm tra Nợ/Có,Không cho Post khi lệch,Chưa chạy,
UAT-10,Windows Chrome,Hợp đồng,Tạo hợp đồng đã ký và milestone,Dashboard Commercial cập nhật đúng,Chưa chạy,
UAT-11,Windows Chrome,Mua sắm,Tạo máy in CCDC và ô tô TSCĐ,Tạo lịch phân bổ/khấu hao không trùng,Chưa chạy,
UAT-12,Desktop + Mobile,Xung đột,Sửa cùng bản ghi trên hai thiết bị,Hiện conflict và cho chọn bản local/server,Chưa chạy,
UAT-13,All,Đăng xuất,Đăng xuất một thiết bị,Token bị xóa và dữ liệu local nhạy cảm không còn,Chưa chạy,
